code,name,image
0284,TPU 布魯克林灰,images/aks_colorppf_GTPU-0284.jpg
0285,TPU 香檳金,images/aks_colorppf_GTPU-0285.jpg
0289,TPU 金屬翡翠雅綠,images/aks_colorppf_GTPU-0289.jpg
0290,TPU 金屬火焰銅棕,images/aks_colorppf_GTPU-0290.jpg
0291,TPU 金屬寒晶淡青,images/aks_colorppf_GTPU-0291.jpg
0293,TPU 消光鑽石橄欖綠,images/aks_colorppf_GTPU-0293.jpg
0294,TPU 消光暗紫,images/aks_colorppf_GTPU-0294.jpg
0295,TPU 消光鉛墨灰,images/aks_colorppf_GTPU-0295.jpg
0301,TPU 鑽石白藍,images/aks_colorppf_GTPU-0301.jpg
0304,TPU 金屬木槿紫,images/aks_colorppf_GTPU-0304.jpg
0306,TPU 金屬黑,images/aks_colorppf_GTPU-0306.jpg
0309,TPU 金屬英倫綠 (Porsche),images/aks_colorppf_GTPU-0309.jpg
0310,TPU 鑽石極光綠,images/aks_colorppf_GTPU-0310.jpg
0313,TPU 火山灰,images/aks_colorppf_GTPU-0313.jpg
0314,TPU 天空藍,images/aks_colorppf_GTPU-0314.jpg
0316,TPU 消光山灰,images/aks_colorppf_GTPU-0316.jpg
0317,TPU 緞面液態金屬槍灰,images/aks_colorppf_GTPU-0317.jpg
0318,TPU 消光超級白,images/aks_colorppf_GTPU-0318.jpg
0320,TPU 消光金屬午夜紫,images/aks_colorppf_GTPU-0320.jpg
0322,TPU 中金星空粉,images/aks_colorppf_GTPU-0322.jpg
0328,TPU 花碳銀,images/aks_colorppf_GTPU-0328.jpg
0331,TPU 水晶寶藍,images/aks_colorppf_GTPU-0331.jpg
0333,TPU 緞面陶瓷白,images/aks_colorppf_GTPU-0333.jpg
0334,TPU 消光金屬鈦銀,images/aks_colorppf_GTPU-0334.jpg
0335,TPU 消光金屬鈦灰,images/aks_colorppf_GTPU-0335.jpg
0337,TPU 白變紫,images/aks_colorppf_GTPU-0337.jpg
0338,TPU 松石藍 (Rolls-Royce),images/aks_colorppf_GTPU-0338.jpg
0339,TPU 海王星藍 (Porsche),images/aks_colorppf_GTPU-0339.jpg
0341,TPU 金屬棕,images/aks_colorppf_GTPU-0341.jpg
0342,TPU 水晶橘紅,images/aks_colorppf_GTPU-0342.jpg
0343,TPU 信號黃 (Retro),images/aks_colorppf_GTPU-0343.jpg
0344,TPU 沙漠黃,images/aks_colorppf_GTPU-0344.jpg
0345,TPU 賽車綠 (Porsche),images/aks_colorppf_GTPU-0345.jpg
0346,TPU 霞光紫,images/aks_colorppf_GTPU-0346.jpg
0347,TPU 迷迭香紫,images/aks_colorppf_GTPU-0347.jpg
0348,TPU 維多利亞紫,images/aks_colorppf_GTPU-0348.jpg
0350,TPU 緞面突尼西亞藍,images/aks_colorppf_GTPU-0350.jpg
0353,TPU 消光藍魅金,images/aks_colorppf_GTPU-0353.jpg
0354,TPU 奶油黃,images/aks_colorppf_GTPU-0354.jpg
0355,TPU 亮面霧紫,images/aks_colorppf_GTPU-0355.jpg
0356,TPU 緞面陶瓷黑,images/aks_colorppf_GTPU-0356.jpg
0364,TPU 熔岩橘 (Xiaomi),images/aks_colorppf_GTPU-0364.jpg
0369,TPU 藍魅金,images/aks_colorppf_GTPU-0369.jpg
0372,TPU 托斯卡納藍,images/aks_colorppf_GTPU-0372.jpg
0373,TPU 流星藍,images/aks_colorppf_GTPU-0373.jpg
0377,TPU 哥特蘭綠,images/aks_colorppf_GTPU-0377.jpg
0379,TPU 液態金屬灰藍,images/aks_colorppf_GTPU-0379.jpg
0380,TPU 月光水晶紫,images/aks_colorppf_GTPU-0380.jpg
0381,TPU 反光閃銀,images/aks_colorppf_GTPU-0381.jpg
0383,TPU 消光琉璃白,images/aks_colorppf_GTPU-0383.jpg
0386,TPU 幻彩螢光黃,images/aks_colorppf_GTPU-0386.jpg
0388,TPU 幻彩競速橘,images/aks_colorppf_GTPU-0388.jpg
0389,TPU 消光幽靈午夜紫,images/aks_colorppf_GTPU-0389.jpg
0390,TPU 晨霧綠,images/aks_colorppf_GTPU-0390.jpg
0391,TPU 雲初黃,images/aks_colorppf_GTPU-0391.jpg
0392,TPU 金屬曙光金,images/aks_colorppf_GTPU-0392.jpg
0395,TPU 超亮黑幻紫,images/aks_colorppf_GTPU-0395.jpg
0396,TPU 亞歷山大銀,images/aks_colorppf_GTPU-0396.jpg
0398,TPU 液態金屬黑,images/aks_colorppf_GTPU-0398.jpg
0412,TPU 消光電鍍鎢鋼,images/aks_colorppf_GTPU-0412.jpg
0413,TPU 紅寶石 (Porsche),images/aks_colorppf_GTPU-0413.jpg
0414,TPU 勃根地紅 (Porsche),images/aks_colorppf_GTPU-0414.jpg
0417,TPU 金屬深釉紅,images/aks_colorppf_GTPU-0417.jpg
0421,TPU 暗夜藍,images/aks_colorppf_GTPU-0421.jpg
0424,TPU 消光黑幻金,images/aks_colorppf_GTPU-0424.jpg
0427,TPU 暗影藍,images/aks_colorppf_GTPU-0427.jpg
